user_id,gross_usd,net_usd,dt,type
100066,7.18,5.9,2022-01-02 08:18:12.970930,1
100081,10.62,9.78,2022-01-07 20:33:19.747997,5
100089,11.42,10.32,2022-01-03 10:00:39.960400,4
100117,7.76,7.4,2022-01-03 11:00:56.700567,4
100155,9.67,8.13,2022-01-06 08:54:27.248672,4
100164,8.57,7.64,2022-01-01 12:15:21.033210,6
100175,5.03,4.62,2022-01-02 03:15:41.877419,2
100178,8.89,7.81,2022-01-04 15:11:50.755108,1
100187,1.95,1.3,2022-01-07 03:07:31.552516,6
100191,3.39,2.26,2022-01-04 18:16:14.385744,1
100194,1.52,1.08,2022-01-02 16:04:49.010890,6
100203,5.98,5.41,2022-01-01 14:23:46.262263,4
100225,5.12,3.04,2022-01-04 12:52:28.447484,6
100236,13.48,11.93,2022-01-05 17:59:20.903609,6
100294,6.7,5.92,2022-01-03 06:16:01.425614,2
100321,4.11,3.24,2022-01-01 19:10:50.706507,2
100333,3.06,1.41,2022-01-06 23:24:50.954910,4
100366,6.51,4.89,2022-01-02 08:53:07.759878,4
100391,6.69,5.94,2022-01-02 04:15:19.305193,2
100418,4.19,3.14,2022-01-02 03:02:13.165332,3
100423,2.05,0.59,2022-01-01 15:04:29.246692,1
100424,0.84,0.16,2022-01-03 22:05:53.163532,2
100436,7.86,6.49,2022-01-02 05:19:09.455495,6
100450,7.77,5.86,2022-01-06 14:37:46.942669,3
100461,3.7,3.09,2022-01-02 09:39:27.707677,6
100478,10.71,9.24,2022-01-02 12:11:16.950770,2
100479,6.59,5.32,2022-01-04 01:13:50.204302,4
100483,6.87,6.15,2022-01-07 17:48:35.489155,6
100500,10.19,9.3,2022-01-02 01:42:00.205202,3
100517,4.38,3.5,2022-01-07 11:02:16.189362,6
100550,4.69,3.91,2022-01-05 15:06:05.583656,6
100573,7.06,6.13,2022-01-03 15:36:19.137791,2
100597,7.71,6.17,2022-01-04 13:04:21.686617,2
100616,7.25,6.82,2022-01-03 12:32:17.971380,6
100654,4.33,3.04,2022-01-06 05:21:41.953020,1
100658,7.05,4.4,2022-01-06 15:59:35.375754,4
100885,7.09,6.06,2022-01-04 10:50:53.190532,4
100899,7.36,6.29,2022-01-05 19:52:36.331563,1
100899,10.32,8.93,2022-01-05 23:44:55.382954,5
100917,12.19,10.8,2022-01-04 00:17:06.874269,5
100942,5.06,4.2,2022-01-03 02:51:47.191072,2
100961,5.4,3.74,2022-01-04 14:00:14.472145,5
100962,6.76,5.91,2022-01-06 13:16:32.205922,2
100964,1.32,0.99,2022-01-02 09:43:46.046260,2
101004,5.77,5.18,2022-01-01 14:16:11.361714,6
101004,6.67,5.08,2022-01-06 13:13:10.027900,2
101040,5.32,4.84,2022-01-05 23:19:33.431734,6
101050,5.62,4.8,2022-01-06 00:01:51.889119,2
101118,1.39,0.14,2022-01-03 00:57:41.218612,5
101128,4.1,2.88,2022-01-05 16:04:41.234812,2
101137,4.17,3.34,2022-01-05 15:17:53.206732,2
101145,9.66,8.08,2022-01-03 06:34:10.940509,5
101196,2.94,1.35,2022-01-04 06:11:12.414724,5
101239,4.21,2.69,2022-01-02 20:15:06.345063,4
101244,8.13,7.34,2022-01-04 05:59:52.871929,3
101283,4.22,3.23,2022-01-07 04:30:44.226442,4
101315,6.48,6.09,2022-01-01 20:44:32.378724,6
101320,7.68,6.33,2022-01-06 01:40:03.132031,4
101358,7.12,7.07,2022-01-03 17:44:38.750788,2
101381,6.43,4.71,2022-01-04 03:46:24.375844,1
101388,4.37,3.69,2022-01-02 15:11:05.394654,6
101422,5.84,5.25,2022-01-02 11:37:46.402664,5
101426,4.84,3.8,2022-01-05 07:08:26.849068,1
101430,4.85,3.86,2022-01-01 13:04:23.846638,4
101436,3.97,3.22,2022-01-05 09:59:44.231842,5
101481,3.95,2.55,2022-01-01 14:37:43.054631,3
101500,5.04,3.86,2022-01-04 00:27:35.872559,4
101514,6.22,4.77,2022-01-07 19:59:54.815948,5
101571,6.35,5.75,2022-01-07 22:52:42.055621,4
101579,3.54,2.32,2022-01-03 06:47:05.956260,5
101601,5.08,4.93,2022-01-03 02:06:17.787778,1
101614,5.68,4.64,2022-01-04 09:38:54.443344,4
101618,7.39,6.39,2022-01-06 01:07:45.592656,4
101656,5.82,5.41,2022-01-07 10:56:44.842048,2
101674,8.24,7.15,2022-01-07 15:27:04.012240,1
101697,5.99,5.69,2022-01-02 07:10:15.714157,5
101703,1.62,0.86,2022-01-04 12:46:34.635946,5
101713,8.37,7.83,2022-01-02 17:31:12.630726,6
101739,14.54,13.31,2022-01-05 14:28:22.313023,5
101743,8.74,8.26,2022-01-04 13:02:18.133381,4
101761,7.72,6.89,2022-01-07 16:07:35.764558,4
101809,5.04,3.64,2022-01-04 01:51:39.090991,2
101813,10.04,9.68,2022-01-01 13:49:47.633876,4
101824,5.89,5.68,2022-01-03 12:01:07.824678,5
101826,5.54,4.38,2022-01-06 12:44:20.282603,6
101851,8.51,6.88,2022-01-06 05:05:52.839528,6
101867,10.32,8.7,2022-01-06 01:17:24.046440,4
101910,9.78,8.99,2022-01-04 11:40:12.852129,1
101938,6.53,5.78,2022-01-04 03:39:11.939519,5
101953,6.71,6.22,2022-01-02 10:30:34.074341,3
102008,5.0,4.27,2022-01-04 10:57:37.546575,5
