iter	Logloss	Accuracy	Precision
0	0.6595451818	0.7758884777	0.7759181436
1	0.6317262188	0.7810140237	0.7934897323
2	0.6084641596	0.7826112869	0.7831883775
3	0.5884654987	0.7825636074	0.7859439483
4	0.5708430299	0.7839761126	0.7880246914
5	0.5560689641	0.7889169006	0.7903567018
6	0.543929382	0.7903294057	0.7954804359
7	0.5333074976	0.7909849988	0.7972213938
8	0.5239364158	0.7912829957	0.7968385817
9	0.515770604	0.7917895904	0.7975979255
10	0.5082867861	0.7925465024	0.7958930065
11	0.5015416184	0.7931484561	0.7970735796
12	0.4962226592	0.7939888072	0.7979903834
13	0.491291264	0.7952880736	0.7989435579
14	0.4867000496	0.7953953524	0.79848105
15	0.482380377	0.7963191427	0.7988421866
16	0.4786083399	0.7972190933	0.8002727407
17	0.4754983906	0.7974813305	0.7995787308
18	0.4726200498	0.798095204	0.8002498561
19	0.4692203932	0.799525589	0.8006810775
20	0.4667188398	0.800288461	0.8019191981
21	0.4642883068	0.8005804979	0.8019271164
22	0.4618908526	0.8017009661	0.8033566399
23	0.45945803	0.8024280785	0.8038571463
24	0.4574738705	0.8028929536	0.804155172
25	0.4556937581	0.8032565097	0.8044048563
26	0.453469615	0.8041326205	0.805551485
27	0.4518502955	0.8044306174	0.8053943325
28	0.4502251105	0.8047584139	0.8057035565
29	0.4487168246	0.8055689654	0.8066971638
30	0.4472663712	0.8058550424	0.8066233719
31	0.446102493	0.806182839	0.8069173042
32	0.4447835701	0.8067907526	0.8075760899
33	0.4434443944	0.8072377479	0.8080893016
34	0.442406478	0.8078218217	0.8087240551
35	0.4415044611	0.808078099	0.8091405717
36	0.4403086161	0.8085191344	0.8094634456
37	0.439480252	0.8088052114	0.8097031296
38	0.4382613533	0.8094667644	0.8105195138
39	0.4371807777	0.8098660802	0.8107953299
40	0.4358225693	0.8106229922	0.8113756775
41	0.4347435663	0.8111713065	0.8118827555
42	0.4340378186	0.8113262648	0.8118815496
43	0.4331144801	0.8115467825	0.8119965933
44	0.4320203295	0.8120295374	0.8123639371
45	0.4314852414	0.8121725759	0.8127000353
46	0.4307702245	0.8124288532	0.8129502531
47	0.4296278864	0.8128520088	0.8132183559
48	0.4284794582	0.8132215249	0.8135420087
